Model Name,Final Test Cross Entropy Loss,Final Test IOU,Training Time (s)
UNet,0.2921955851571901,0.8610472977161407,726.98
StatSegMapper1,0.2341125990663256,0.8124521360510871,412.81
StatSegMapper2,0.2481395020371391,0.8277643918991089,638.39
StatSegMapper3,0.5014167910530454,0.5854037109585035,655.76
StatSegMapper4,0.5197275806040991,0.6411260870240983,75.52
StatSegMapper5,0.3442908390646889,0.7764580860024407,664.64
StatSegMapper6,0.5036611769880567,0.6397171446255275,77.64
StatSegMapper7,0.586424762294406,0.5605324779947599,25.07
StatSegMapper8,0.3529790054474558,0.8576676221120925,850.34
StatSegMapper9,0.3605003559163638,0.8511312234969366,863.62
StatSegMapper10,0.5360888796193259,0.5836513432718459,31.42
StatSegMapper11,0.1596593988083657,0.9198477083728428,1365.97
StatSegMapper12,0.1065218381228901,0.9445683218183972,1127.49
StatSegMapper13,3.9878871327354792,0.6219853602704548,737.32
StatSegMapper14,0.5775181934947059,0.5279819557354564,30.79
StatSegMapper15,0.1335808945198854,0.924072877282188,1242.11
Autoencoder,0.13279713246793973,0.9432451313450223,1115.59
StatSegMapper16,0.1284420617989131,0.9411897049063728,1120.42
